v_x,v_y,omega,delta
1.495058894157409668e+00,1.177513822913169861e-01,-1.251129865646362305e+00,1.553962975740432739e-01
1.492962718009948730e+00,1.262713670730590820e-01,-1.306750774383544922e+00,1.612311005592346191e-01
1.498808026313781738e+00,1.353807151317596436e-01,-1.311870574951171875e+00,1.708106398582458496e-01
1.494781613349914551e+00,1.396225839853286743e-01,-1.120477914810180664e+00,1.771978586912155151e-01
1.498794913291931152e+00,1.498750299215316772e-01,-1.332663416862487793e+00,1.866231858730316162e-01
1.495346784591674805e+00,1.570100188255310059e-01,-1.198901653289794922e+00,1.967319548130035400e-01
1.498685479164123535e+00,1.663828492164611816e-01,-1.378844022750854492e+00,2.058607935905456543e-01
1.497754454612731934e+00,1.743764877319335938e-01,-1.397678256034851074e+00,2.152454704046249390e-01
1.501098394393920898e+00,1.821132600307464600e-01,-1.410787940025329590e+00,2.244099974632263184e-01
1.506562590599060059e+00,1.885704398155212402e-01,-1.324588656425476074e+00,2.333092242479324341e-01
1.502304434776306152e+00,1.945573687553405762e-01,-1.259127378463745117e+00,2.419036030769348145e-01
1.500616192817687988e+00,1.990803182125091553e-01,-1.292674422264099121e+00,2.473682910203933716e-01
1.503416419029235840e+00,2.046831995248794556e-01,-1.371181249618530273e+00,2.546257972717285156e-01
1.499369263648986816e+00,2.094452828168869019e-01,-1.355638384819030762e+00,2.621161341667175293e-01
1.506168723106384277e+00,2.129347771406173706e-01,-1.358064651489257812e+00,2.691344320774078369e-01
1.504691600799560547e+00,2.179262340068817139e-01,-1.396924972534179688e+00,2.738444805145263672e-01
1.502321839332580566e+00,2.227588891983032227e-01,-1.353801250457763672e+00,2.798900604248046875e-01
1.515235066413879395e+00,2.182813137769699097e-01,-1.331515669822692871e+00,2.852325737476348877e-01
1.503125667572021484e+00,2.291249632835388184e-01,-1.420041441917419434e+00,2.893306314945220947e-01
1.526903271675109863e+00,2.343251854181289673e-01,-1.253074049949645996e+00,2.939810156822204590e-01
1.495804190635681152e+00,2.056010961532592773e-01,-1.352185487747192383e+00,2.598994076251983643e-01
1.499949455261230469e+00,2.064758390188217163e-01,-1.513420581817626953e+00,2.597641944885253906e-01
1.496840119361877441e+00,2.103182971477508545e-01,-1.346492171287536621e+00,2.654743492603302002e-01
1.500431776046752930e+00,2.143685072660446167e-01,-1.485183358192443848e+00,2.708298265933990479e-01
1.509809851646423340e+00,2.120698839426040649e-01,-1.492822170257568359e+00,2.745096981525421143e-01
1.496947050094604492e+00,2.200448215007781982e-01,-1.294552922248840332e+00,2.800073325634002686e-01
1.491140365600585938e+00,2.218923270702362061e-01,-1.177279114723205566e+00,2.845153510570526123e-01
1.491631507873535156e+00,2.259678095579147339e-01,-1.215138673782348633e+00,2.886783182621002197e-01
1.493373513221740723e+00,2.279854863882064819e-01,-1.372133135795593262e+00,2.910802066326141357e-01
1.501989603042602539e+00,2.304939329624176025e-01,-1.416372418403625488e+00,2.939768433570861816e-01
1.502158641815185547e+00,2.312468439340591431e-01,-1.436820507049560547e+00,2.960814833641052246e-01
