time,speed_cmd,steering_cmd
0.02,0.4176,0.0364
0.27,0.3000,0.0037
0.52,0.3000,-0.0015
0.76,0.3000,-0.0008
1.01,0.3000,0.0061
1.27,0.3000,0.0045
1.52,0.3000,-0.0174
1.77,0.3000,-0.0238
2.02,0.3000,-0.0182
2.27,0.3000,0.0053
2.52,0.3000,-0.0294
2.77,0.3000,-0.1344
3.02,0.3000,-0.2306
3.27,0.3000,-0.2431
3.52,0.3000,-0.2065
3.77,0.3000,-0.1241
4.02,0.3000,-0.0738
4.27,0.3000,-0.0796
4.52,0.3000,-0.1036
4.77,0.3000,-0.1097
5.02,0.3000,-0.0913
5.27,0.3000,-0.0590
5.52,0.3000,-0.0209
5.77,0.3000,-0.0128
6.02,0.3000,-0.0133
6.27,0.3000,-0.0145
6.52,0.3000,-0.0003
6.77,0.3000,-0.0051
7.02,0.3000,-0.0138
7.27,0.3000,-0.0220
7.52,0.3000,-0.0165
7.77,0.3000,-0.0070
8.02,0.3000,0.0068
8.27,0.3000,0.0536
8.52,0.3000,0.0216
8.77,0.3000,-0.0065
9.02,0.3000,-0.0115
9.27,0.3000,-0.0064
9.52,0.3000,-0.0005
9.77,0.3000,0.0029
10.02,0.3000,0.0039
10.27,0.3000,0.0037
10.52,0.3000,0.0035
10.77,0.3000,-0.0004
11.02,0.3000,-0.0160
11.27,0.3000,-0.0441
11.52,0.3000,-0.0780
11.77,0.3000,-0.1096
12.02,0.3000,-0.1360
12.27,0.3000,-0.1566
12.52,0.3000,-0.1730
12.77,0.3000,-0.1858
13.02,0.3000,-0.1938
13.27,0.3000,-0.2011
13.52,0.3000,-0.2081
13.77,0.3000,-0.2131
14.02,0.3000,-0.2178
14.27,0.3000,-0.2203
14.52,0.3000,-0.2216
14.77,0.3000,-0.2240
15.02,0.3000,-0.2258
15.27,0.3000,-0.2268
15.52,0.3000,-0.2194
15.77,0.3668,-0.1999
16.02,0.4754,-0.1382
16.27,0.5709,-0.0780
16.52,0.6468,-0.0298
16.77,0.6828,-0.0161
17.02,0.7061,0.0315
17.27,0.4179,-0.4158
17.52,0.8015,0.0240
17.77,0.4663,-0.6000
18.02,0.8660,-0.1628
18.27,1.0000,0.6000
18.52,0.3000,-0.6000
18.77,0.3000,-0.6000
19.02,0.3000,-0.6000
19.27,0.3132,-0.6000
19.52,0.3536,-0.6000
19.77,0.7861,-0.6000
20.02,1.0000,-0.6000
20.27,1.0000,0.6000
20.52,1.0000,0.6000
20.77,1.0000,0.6000
21.02,0.3000,0.6000
21.27,0.3000,0.6000
21.52,0.3000,0.6000
21.77,0.3000,0.6000
22.02,0.3000,0.6000
22.27,0.3000,0.6000
22.52,0.3000,0.6000
22.77,0.3000,0.6000
23.02,0.3000,0.6000
23.27,0.3000,0.6000
23.52,0.7849,0.1369
23.77,0.5866,0.3723
24.02,0.5116,0.5738
24.27,0.8657,-0.6000
24.52,0.8661,-0.6000
24.77,0.8987,-0.6000
25.02,0.9432,-0.6000
25.27,0.9619,-0.6000
25.52,0.9660,-0.6000
25.77,0.9411,-0.6000
26.02,0.9307,-0.6000
26.27,0.9343,-0.6000
26.52,0.9351,-0.6000
